DATE,HOUR,TAVG,PREC,RHAVG,RAD,W_INT_AVG
1999-03-09,17,2.7,0,63.6,79.8,2.9
1999-03-09,18,2.4,0,65,7.5,2.8
1999-03-09,19,1.8,0,69.1,0.0,3.1
1999-03-09,20,1,0,71.9,0.0,1.9
1999-03-09,21,-0.4,0,78.3,0.0,1.6
1999-03-09,22,-2,0,87.1,0.0,0.4
1999-03-09,23,-2.8,0,88.7,0.1,0.4
1999-03-10,0,-3.7,0,87.5,0.1,0.4
1999-03-10,1,-4.8,0,88.5,0.0,0.5
1999-03-10,2,-5.7,0,91,0.0,0.3
1999-03-10,3,-6.5,0,91.9,0.0,0.3
1999-03-10,4,-6.3,0,89.7,0.0,0.3
1999-03-10,5,-6.9,0,92.4,0.0,0.3
1999-03-10,6,-7.1,0,94.6,0.1,0.3
1999-03-10,7,-6.7,0,92.4,36.2,0.2
1999-03-10,8,-2.7,0,74.9,197.5,0.3
1999-03-10,9,-0.8,0,73,304.3,1.8
1999-03-10,10,1.2,0,66.4,477.6,1.7
1999-03-10,11,2.7,0,62.9,520.5,1.5
1999-03-10,12,4.2,0,54.5,532.0,1.3
1999-03-10,13,5.3,0,41.2,514.6,0.8
1999-03-10,14,5.3,0,43.2,471.8,0.9
1999-03-10,15,6.2,0,39.1,412.3,0.4
1999-03-10,16,6.7,0,32,320.3,0.5
1999-03-10,17,4.3,0,38.1,104.4,1.4
1999-03-10,18,2,0,51.5,15.4,0.6
1999-03-10,19,0.4,0,60.1,0.0,0.5
1999-03-10,20,-0.1,0,65.7,0.0,0.9
1999-03-10,21,-1.5,0,71.1,0.0,0.2
1999-03-10,22,-2,0,76.4,0.0,0.2
1999-03-10,23,-2.2,0,78.9,0.1,0.2
1999-03-11,0,-2.5,0,79.4,0.0,0.3
1999-03-11,1,-3.3,0,81.8,0.1,0.3
1999-03-11,2,-4.1,0,83,0.0,0.2
1999-03-11,3,-4.9,0,86.3,0.0,0.2
1999-03-11,4,-5.2,0,86.7,0.0,0.2
1999-03-11,5,-5.9,0,89.4,0.0,0.3
1999-03-11,6,-6.1,0,90.3,0.2,0.2
1999-03-11,7,-6.1,0,87.7,44.3,0.3
1999-03-11,8,-1.4,0,65,222.4,0.2
1999-03-11,9,3.1,0,49.1,374.1,0.2
1999-03-11,10,3.4,0,52.1,513.4,1.0
1999-03-11,11,4.5,0,50.9,620.8,1.4
1999-03-11,12,5.2,0,49.7,676.6,2.5
1999-03-11,13,4,0,54.2,408.0,3.3
1999-03-11,14,4,0,52.9,281.4,3.3
1999-03-11,15,4.9,0,45.3,261.6,2.1
1999-03-11,16,4.6,0,44.3,101.9,1.9
1999-03-11,17,4.5,0,44.1,83.6,2.1
1999-03-11,18,4.1,0,47.8,39.0,1.8
1999-03-11,19,1.6,0,61.4,0.0,0.4
1999-03-11,20,-1.3,0,74,0.1,0.5
1999-03-11,21,-2.2,0,76.8,0.1,0.3
1999-03-11,22,-3.4,0,81.1,0.0,0.2
1999-03-11,23,-3.8,0,82.3,0.0,0.3
1999-03-12,0,-4.7,0,84.3,0.0,0.2
1999-03-12,1,-5.1,0,85.1,0.0,0.3
1999-03-12,2,-5.5,0,87,0.0,0.2
1999-03-12,3,-5.5,0,87.3,0.0,0.2
1999-03-12,4,-5.4,0,88.1,0.0,0.3
1999-03-12,5,-5.3,0,89.2,0.0,0.2
1999-03-12,6,-5.1,0,88.1,0.1,0.4
1999-03-12,7,-3.5,0,81.2,30.1,1.6
1999-03-12,8,-1.6,0,71.1,169.8,1.1
1999-03-12,9,0.5,0,62.8,359.7,2.5
1999-03-12,10,2.2,0,55.3,514.7,3.5
1999-03-12,11,3.3,0,50.1,467.9,3.5
1999-03-12,12,4.4,0,46.1,416.0,2.4
1999-03-12,13,5.3,0,43.6,474.3,2.3
1999-03-12,14,6.2,0,40.8,270.3,1.1
1999-03-12,15,5.8,0,44.7,127.9,0.6
1999-03-12,16,5.3,0,49.1,135.7,0.9
1999-03-12,17,4.9,0,50.2,60.0,0.8
1999-03-12,18,4.4,0,49.7,14.4,0.3
1999-03-12,19,3.4,0,56.7,0.0,0.4
1999-03-12,20,1.9,0,64.3,0.0,0.2
1999-03-12,21,0.3,0,71.5,0.0,0.2
1999-03-12,22,0.1,0,71.6,0.0,0.2
1999-03-12,23,0.5,0,73.3,0.0,0.2
1999-03-13,0,0.8,0,74.2,0.0,0.2
1999-03-13,1,1.5,0,69.3,0.0,0.4
1999-03-13,2,1.9,0,64.8,0.0,0.4
1999-03-13,3,1.9,0,63.9,0.0,0.3
1999-03-13,4,1.9,0,63.2,0.0,0.3
1999-03-13,5,1.4,0,65.6,0.0,0.4
1999-03-13,6,1.1,0,71.7,0.0,0.3
1999-03-13,7,1.1,0,76.8,25.3,0.2
1999-03-13,8,2.5,0,74.6,89.4,0.6
1999-03-13,9,4.4,0,64.3,199.3,2.1
1999-03-13,10,6.6,0,58.3,306.4,2.6
1999-03-13,11,8,0,53.4,346.7,3.2
1999-03-13,12,9.2,0,51.1,430.8,2.9
1999-03-13,13,10.1,0,48.8,391.2,2.7
1999-03-13,14,10.7,0,50.5,314.7,2.0
1999-03-13,15,11.2,0,50.4,282.2,1.9
1999-03-13,16,11.3,0,49.5,195.6,1.8
1999-03-13,17,10,0,55.5,43.7,0.3
1999-03-13,18,7.3,0,64.2,8.8,0.4
1999-03-13,19,5.2,0,72.3,0.0,0.3
1999-03-13,20,5,0,72.9,0.0,0.3
1999-03-13,21,4.2,0,78.4,0.0,0.7
1999-03-13,22,3.8,1,89.9,0.0,1.1
1999-03-13,23,4.1,0,91.4,0.0,2.3
1999-03-14,0,4.2,0,92.3,0.0,1.0
1999-03-14,1,4,0,92.5,0.0,0.6
1999-03-14,2,4.1,0,90.7,0.0,0.4
1999-03-14,3,4.6,0,85.8,0.0,1.3
1999-03-14,4,4.4,0,84.6,0.0,1.0
1999-03-14,5,4,0,86.4,0.0,1.8
1999-03-14,6,3.5,0,88.6,0.1,1.6
1999-03-14,7,3.9,0,85.6,18.9,1.0
1999-03-14,8,4.1,0,84.6,81.0,0.6
1999-03-14,9,5.3,0,81.2,150.4,0.6
1999-03-14,10,7.8,0,71.4,346.6,0.9
1999-03-14,11,10.8,0,57.5,539.3,0.4
1999-03-14,12,12.6,0,49.3,629.2,0.8
1999-03-14,13,13.5,0,42.9,508.1,0.8
1999-03-14,14,12.2,0,42.4,472.2,3.2
1999-03-14,15,12,0,38.5,419.2,2.9
1999-03-14,16,11.7,0,35.7,235.6,2.9
1999-03-14,17,11.2,0,36.6,105.7,2.2
1999-03-14,18,9.9,0,44.3,27.3,2.5
1999-03-14,19,7.6,0,52.6,0.2,1.0
1999-03-14,20,4.9,0,62.8,0.0,0.8
1999-03-14,21,2.6,0,71.9,0.0,0.5
1999-03-14,22,1.5,0,77.7,0.0,0.6
1999-03-14,23,2.3,0,75.8,0.0,0.7
1999-03-15,0,0.6,0,83.7,0.0,0.3
1999-03-15,1,-0.1,0,86.9,0.0,0.2
